                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1781,                0.99103,                 1.1606,                0.65249,                0.49571,                0.54919,                0.35709,                 1.3799,                 1.2186,                 1.2963,             0.00036005,             0.00036005,             0.00036005
                     64,                 1.1775,                0.99382,                 1.1593,                0.67306,                0.50864,                0.56492,                0.36182,                  1.377,                  1.185,                 1.2931,             0.00035106,             0.00035106,             0.00035106
                     65,                 1.1555,                0.97111,                 1.1541,                0.71845,                0.49333,                0.56784,                0.36242,                 1.3793,                 1.1816,                 1.2887,             0.00034206,             0.00034206,             0.00034206
                     66,                 1.1718,                0.97325,                 1.1531,                0.68602,                0.49901,                0.56254,                0.36428,                 1.3764,                 1.2059,                 1.2931,             0.00033306,             0.00033306,             0.00033306
                     67,                 1.1636,                0.96193,                 1.1561,                0.70795,                0.49759,                0.56823,                0.37046,                 1.3683,                 1.1903,                 1.2854,             0.00032406,             0.00032406,             0.00032406
                     68,                 1.1648,                  0.965,                 1.1525,                0.68002,                0.50356,                0.56722,                0.36577,                 1.3691,                 1.1866,                 1.2847,             0.00031506,             0.00031506,             0.00031506
                     69,                 1.1621,                0.95654,                 1.1448,                0.71339,                0.50037,                0.57421,                0.37337,                 1.3577,                 1.1744,                 1.2796,             0.00030606,             0.00030606,             0.00030606
                     70,                 1.1511,                0.94427,                 1.1435,                0.67823,                0.50605,                 0.5664,                 0.3678,                 1.3576,                 1.1738,                 1.2813,             0.00029706,             0.00029706,             0.00029706
                     71,                 1.1441,                 0.9468,                 1.1446,                0.68435,                0.50366,                0.56319,                 0.3658,                 1.3673,                 1.1787,                  1.284,             0.00028806,             0.00028806,             0.00028806
                     72,                 1.1327,                0.93094,                 1.1356,                0.67538,                0.51052,                0.55893,                 0.3636,                 1.3792,                 1.2012,                 1.2858,             0.00027906,             0.00027906,             0.00027906
                     73,                 1.1391,                0.93402,                  1.144,                0.68073,                0.49072,                0.56281,                0.36738,                 1.3727,                  1.181,                 1.2902,             0.00027006,             0.00027006,             0.00027006
                     74,                 1.1305,                0.93591,                  1.143,                0.69242,                0.49534,                0.56135,                0.36318,                 1.3644,                 1.1735,                  1.286,             0.00026106,             0.00026106,             0.00026106
                     75,                 1.1443,                0.93175,                 1.1419,                0.65838,                 0.5144,                0.56397,                0.36755,                 1.3663,                  1.169,                 1.2857,             0.00025207,             0.00025207,             0.00025207
                     76,                 1.1332,                0.92044,                  1.139,                 0.6689,                0.50834,                0.56082,                0.36513,                 1.3659,                 1.1864,                 1.2861,             0.00024307,             0.00024307,             0.00024307
                     77,                 1.1317,                0.92309,                  1.138,                0.70151,                0.49654,                0.55897,                0.36282,                 1.3684,                 1.1776,                  1.289,             0.00023407,             0.00023407,             0.00023407
                     78,                 1.1245,                0.90284,                 1.1311,                0.67481,                0.51994,                 0.5677,                0.36917,                 1.3655,                 1.1686,                 1.2826,             0.00022507,             0.00022507,             0.00022507
                     79,                 1.1249,                0.90895,                 1.1313,                 0.6632,                0.51999,                0.56973,                0.37052,                 1.3676,                 1.1736,                 1.2873,             0.00021607,             0.00021607,             0.00021607
                     80,                 1.1125,                0.90021,                  1.124,                0.65221,                0.52536,                0.56498,                0.36901,                 1.3657,                 1.1687,                 1.2895,             0.00020707,             0.00020707,             0.00020707
                     81,                 1.1213,                0.89321,                 1.1265,                0.67298,                0.50942,                0.56678,                0.36883,                 1.3637,                 1.1698,                  1.285,             0.00019807,             0.00019807,             0.00019807
                     82,                  1.118,                0.89215,                 1.1225,                0.67981,                0.51181,                 0.5641,                0.36867,                  1.362,                 1.1681,                  1.285,             0.00018907,             0.00018907,             0.00018907
                     83,                 1.1074,                0.88276,                 1.1194,                0.66379,                0.51362,                0.56626,                0.36884,                 1.3635,                 1.1623,                 1.2846,             0.00018007,             0.00018007,             0.00018007
                     84,                 1.1122,                0.88809,                 1.1198,                0.66528,                0.52299,                0.56392,                0.36952,                 1.3551,                 1.1652,                 1.2793,             0.00017107,             0.00017107,             0.00017107
                     85,                 1.1013,                0.87141,                 1.1199,                0.66865,                0.51431,                0.57035,                0.37404,                 1.3638,                 1.1626,                 1.2849,             0.00016207,             0.00016207,             0.00016207
                     86,                 1.1023,                0.88078,                 1.1165,                0.69406,                0.50313,                0.56816,                 0.3694,                 1.3658,                 1.1645,                 1.2848,             0.00015308,             0.00015308,             0.00015308
                     87,                 1.0954,                0.86845,                 1.1158,                0.68331,                0.51049,                0.57356,                0.37525,                 1.3585,                 1.1578,                 1.2816,             0.00014408,             0.00014408,             0.00014408
                     88,                    1.1,                0.87069,                 1.1147,                0.67832,                0.51528,                0.57129,                0.37248,                 1.3594,                 1.1722,                 1.2844,             0.00013508,             0.00013508,             0.00013508
                     89,                 1.0879,                 0.8693,                 1.1132,                0.67217,                0.51015,                0.56836,                0.37172,                  1.367,                 1.1653,                 1.2898,             0.00012608,             0.00012608,             0.00012608
                     90,                 1.0837,                0.85424,                 1.1078,                0.66883,                0.52449,                0.56912,                0.36978,                 1.3577,                 1.1551,                 1.2867,             0.00011708,             0.00011708,             0.00011708
                     91,                 1.0872,                0.82366,                 1.0949,                0.68429,                0.50217,                0.56086,                0.36266,                 1.3647,                  1.177,                 1.2958,             0.00010808,             0.00010808,             0.00010808
                     92,                 1.0662,                0.78231,                 1.0821,                 0.6745,                0.51379,                0.56343,                0.36668,                 1.3635,                 1.1723,                 1.2895,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 1.0579,                0.77312,                 1.0842,                0.66869,                0.51494,                0.56571,                0.36754,                 1.3613,                 1.1667,                 1.2922,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                 1.0587,                0.77509,                 1.0808,                0.66592,                 0.5205,                0.56255,                0.36614,                 1.3659,                 1.1719,                 1.2926,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                 1.0537,                0.76581,                 1.0746,                0.66677,                0.51457,                0.56557,                 0.3686,                 1.3669,                  1.172,                 1.2933,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                 1.0436,                0.76387,                 1.0745,                0.66156,                0.51916,                0.56692,                0.36955,                 1.3663,                  1.172,                 1.2936,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                 1.0393,                0.75198,                 1.0704,                0.66072,                0.51447,                0.56359,                0.36923,                 1.3706,                  1.173,                 1.2985,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                  1.038,                0.75232,                 1.0693,                0.65414,                0.51998,                0.56522,                0.37015,                 1.3696,                 1.1676,                  1.296,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 1.0338,                  0.744,                 1.0664,                 0.6488,                0.53024,                0.56621,                 0.3688,                 1.3692,                 1.1726,                 1.2948,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                  1.034,                0.74561,                 1.0649,                0.68809,                0.50442,                0.56652,                0.36898,                 1.3674,                 1.1689,                 1.2941,             2.7088e-05,             2.7088e-05,             2.7088e-05
